Crop,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield
Maize,Monsoon,Chittagong,545546.0,1066107,867.6,53998143.08,130931.04,2.3356
Maize,Winter,Chittagong,64199.0,123529,867.6,6354417.02,15407.76,1.943478261
Maize,Summer,Chittagong,8428.0,20264,867.6,834203.44,2022.72,2.470909091
Maize,Monsoon,Rajshahi,16900.0,25929,3321.3,1672762.0,4056.0,1.528571429
Maize,Monsoon,Narayanganj,160159.0,250992,345.6,15852537.82,38438.16,1.7856
Maize,Monsoon,Barisal,55530.0,126059,1526.7,5496359.4,13327.2,2.133333333
Maize,Monsoon,Chittagong,783835.0,2310082,1117.7,84920683.9,164605.35,3.0068
Maize,Winter,Chittagong,57478.0,171589,1117.7,6227166.52,12070.38,2.84826087
Maize,Summer,Chittagong,9056.0,27678,1117.7,981127.04,1901.76,3.007826087
Maize,Monsoon,Rajshahi,16875.0,24000,4767.9,1828237.5,3543.75,1.465714286
Maize,Monsoon,Narayanganj,189893.0,294717,1034.0,20573007.62,39877.53,1.758846154
Maize,Monsoon,Jessore,593135.0,2098190,1075.5,71128749.2,124558.35,3.803636364
Maize,Winter,Jessore,164827.0,988711,1075.5,19766053.84,34613.67,6.032272727
Maize,Monsoon,Dhaka,18969.0,13745,2184.6,2274762.48,3983.49,0.635925926
Maize,Monsoon,Chittagong,842243.0,2486900,1316.2,101001780.6,176871.03,3.1212
Maize,Winter,Chittagong,81621.0,282618,1316.2,9787990.32,17140.41,3.341304348
Maize,Summer,Chittagong,11990.0,37005,1316.2,1437840.8,2517.9,3.096666667
Maize,Monsoon,Rajshahi,16898.0,24424,3374.4,2026408.16,3548.58,1.481428571
Maize,Monsoon,Narayanganj,202830.0,0,1364.1,24323373.6,42594.3,0.0
Maize,Monsoon,Barisal,71753.0,207252,1650.1,8604619.76,15068.13,2.601764706
Maize,Monsoon,Rajshahi,17039.0,25334,2454.7,2176050.69,3748.58,1.541428571
Maize,Monsoon,Jessore,535709.0,1284991,845.2,68415396.39,117855.98,2.942727273
Maize,Winter,Jessore,190172.0,1177003,845.2,24286866.12,41837.84,6.363181818
Maize,Monsoon,Dhaka,18657.0,13557,1774.9,2382685.47,4104.54,0.6252
Maize,Monsoon,Chittagong,865850.0,2354023,1146.3,110577703.5,190487.0,2.7448
Maize,Winter,Chittagong,78902.0,237039,1146.3,10076574.42,17358.44,2.7208
Maize,Summer,Chittagong,15780.0,50467,1146.3,2015263.8,3471.6,3.203333333
Maize,Whole Year,Narayanganj,197782.0,759112,927.9,25258739.22,43512.04,4.483076923
Maize,Monsoon,Barisal,85446.0,253505,1631.4,10912308.66,18798.12,2.723125
Maize,Monsoon,Dhaka,18362.0,13317,2154.1,2449490.8,2937.92,0.60962963
Maize,Monsoon,Chittagong,1015117.0,2950506,1323.3,135416607.8,162418.72,3.112962963
Maize,Winter,Chittagong,77654.0,260972,1323.3,10359043.6,12424.64,3.109230769
Maize,Summer,Chittagong,20026.0,64553,1323.3,2671468.4,3204.16,3.179259259
Maize,Whole Year,Narayanganj,223428.0,810057,1067.2,29805295.2,35748.48,4.077307692
Maize,Monsoon,Barisal,34570.0,72463,2007.5,4611638.0,5531.2,1.775454545
Maize,Winter,Barisal,17363.0,81620,2007.5,2316224.2,2778.08,3.295
Maize,Summer,Barisal,25240.0,90290,2007.5,3367016.0,4038.4,2.845294118
Maize,Monsoon,Jessore,497803.0,1566921,944.6,71205741.12,44802.27,3.601818182
Maize,Winter,Jessore,354157.0,2584881,944.6,50658617.28,31874.13,6.952727273
Maize,Monsoon,Dhaka,17382.0,12619,2109.9,2486321.28,1564.38,0.595555556
Maize,Monsoon,Chittagong,932901.0,2549564,1164.1,133442159.0,83961.09,2.895555556
Maize,Winter,Chittagong,107533.0,319095,1164.1,15381520.32,9677.97,2.845
Maize,Summer,Chittagong,27868.0,87643,1164.1,3986238.72,2508.12,3.073928571
Maize,Monsoon,Rajshahi,17117.0,25716,3114.3,2448415.68,1540.53,1.545714286
Maize,Whole Year,Narayanganj,286639.0,1257882,1201.9,41000842.56,25797.51,5.226296296
Maize,Autumn,Barisal,36843.0,97825,1560.1,5270022.72,3315.87,2.369090909
Maize,Winter,Barisal,17955.0,91856,1560.1,2568283.2,1615.95,3.217272727
Maize,Summer,Barisal,35976.0,153753,1560.1,5146007.04,3237.84,2.743529412
Maize,Monsoon,Jessore,501624.0,996315,711.0,78163051.68,85276.08,3.095
Maize,Winter,Jessore,281008.0,1764883,711.0,43786666.56,47771.36,6.097272727
Maize,Monsoon,Dhaka,19481.0,13981,1727.1,3035529.42,3311.77,0.617407407
Maize,Monsoon,Chittagong,1108434.0,2585194,1321.0,172716185.9,188433.78,2.418148148
Maize,Winter,Chittagong,103702.0,262272,1321.0,16158845.64,17629.34,2.43962963
Maize,Summer,Chittagong,28341.0,77530,1321.0,4416094.62,4817.97,2.839642857
Maize,Monsoon,Rajshahi,17209.0,26167,2995.9,2681506.38,2925.53,1.574285714
Maize,Whole Year,Narayanganj,244159.0,1138126,928.5,38044855.38,41507.03,4.798888889
Maize,Monsoon,Dhaka,19772.0,14110,2578.5,3284326.92,4745.28,0.61
Maize,Monsoon,Jessore,439530.0,1639069,1297.0,73010328.3,105487.2,3.821818182
Maize,Winter,Jessore,303916.0,2313946,1297.0,50483486.76,72939.84,7.073636364
Maize,Monsoon,Chittagong,1139899.0,3908386,1317.7,189348622.9,273575.76,3.354285714
Maize,Winter,Chittagong,115803.0,321962,1317.7,19236036.33,27792.72,2.8475
Maize,Summer,Chittagong,30734.0,104275,1317.7,5105224.74,7376.16,3.294137931
Maize,Monsoon,Rajshahi,17276.0,26500,3119.7,2869716.36,4146.24,1.561428571
Maize,Monsoon,Dhaka,21297.0,17075,1743.4,3567673.44,7028.01,0.693333333
Maize,Monsoon,Jessore,530919.0,1492303,861.9,88939550.88,175203.27,3.427727273
Maize,Winter,Jessore,332805.0,2163376,861.9,55751493.6,109825.65,6.432272727
Maize,Monsoon,Chittagong,1206528.0,3433881,1178.986364,202117570.6,398154.24,2.855357143
Maize,Winter,Chittagong,111362.0,347253,1178.986364,18655362.24,36749.46,3.0375
Maize,Summer,Chittagong,31494.0,106783,1178.986364,5275874.88,10393.02,3.159655172
Maize,Monsoon,Rajshahi,17303.0,26939,4083.104545,2898598.56,5709.99,1.58
Maize,Monsoon,Narayanganj,176287.0,1001667,926.5,29531598.24,58174.71,5.832307692
Maize,Winter,Narayanganj,104342.0,693800,926.5,17479371.84,34432.86,6.611481481
Maize,Monsoon,Jessore,565000.0,2341000,968.7,85202000.0,175150.0,4.040952381
Maize,Winter,Jessore,407000.0,2513000,968.7,61375600.0,126170.0,6.119545455
Maize,Monsoon,Dhaka,23695.0,21258,2167.5,3573206.0,7345.45,0.771481481
Maize,Monsoon,Chittagong,1161644.0,2978477,956.2,175175915.2,360109.64,2.741071429
Maize,Winter,Chittagong,127577.0,386114,956.2,19238611.6,39548.87,3.155185185
Maize,Summer,Chittagong,32413.0,111382,956.2,4887880.4,10048.03,3.439666667
Maize,Whole Year,Khulna,180.0,15,2187.6,27144.0,55.8,0.535
Maize,Whole Year,Rajshahi,18015.0,38732,2945.3,2716662.0,5584.65,2.2
Maize,Monsoon,Jessore,109846.0,407657,1062.3,15871648.54,29658.42,3.460769231
Maize,Winter,Jessore,242269.0,1805828,1062.3,35005447.81,65412.63,7.458461538
Maize,Monsoon,Dhaka,24068.0,76998,1797.7,3477585.32,6498.36,3.53037037
Maize,Monsoon,Chittagong,1246109.0,3950152,1235.6,180050289.4,336449.43,3.165
Maize,Winter,Chittagong,103879.0,318029,1235.6,15009476.71,28047.33,2.988888889
Maize,Summer,Chittagong,27180.0,88183,1235.6,3927238.2,7338.6,3.111724138
Maize,Whole Year,Khulna,51.0,71,3255.4,7368.99,13.77,1.445
Maize,Whole Year,Rajshahi,18025.0,39655,2448.4,2604432.25,4866.75,2.16
Maize,Monsoon,Narayanganj,223113.0,1458297,740.9,32237597.37,60240.51,6.161111111
Maize,Winter,Narayanganj,157316.0,786919,740.9,22730588.84,42475.32,5.431724138
Maize,Monsoon,Jessore,99863.0,328758,687.6,15075318.48,32954.79,3.446923077
Maize,Winter,Jessore,203463.0,1609315,687.6,30714774.48,67142.79,7.481538462
Maize,Monsoon,Dhaka,27953.0,93179,1899.0,4219784.88,9224.49,2.96962963
Maize,Monsoon,Chittagong,1210336.0,3788289,1238.5,182712322.6,399410.88,3.134642857
Maize,Winter,Chittagong,102820.0,347250,1238.5,15521707.2,33930.6,3.191785714
Maize,Summer,Chittagong,23928.0,78040,1238.5,3612170.88,7896.24,3.19
Maize,Whole Year,Khulna,67.0,69,3046.4,10114.32,22.11,1.166666667
Maize,Whole Year,Rajshahi,18037.0,40764,3484.4,2722865.52,5952.21,2.214545455
Maize,Monsoon,Narayanganj,191481.0,1663616,911.3,28905971.76,63188.73,8.406538462
Maize,Winter,Narayanganj,130471.0,984135,911.3,19695902.16,43055.43,7.637586207
Maize,Monsoon,Jessore,75017.0,276205,940.7,11845934.47,24755.61,3.876923077
Maize,Winter,Jessore,157628.0,1135482,940.7,24891037.48,52017.24,5.915384615
Maize,Monsoon,Dhaka,28420.0,87175,2155.3,4487802.2,9378.6,2.514074074
Maize,Monsoon,Rajshahi,18056.0,41242,3870.8,2851222.96,5958.48,2.24
Maize,Monsoon,Chittagong,1091587.0,2982667,1024.9,172372503.2,360223.71,2.7225
Maize,Winter,Chittagong,103950.0,258320,1024.9,16414744.5,34303.5,2.544285714
Maize,Summer,Chittagong,24754.0,69486,1024.9,3908904.14,8168.82,2.877407407
Maize,Whole Year,Khulna,59.0,74,2602.9,9316.69,19.47,1.73
Maize,Monsoon,Narayanganj,201750.0,1483163,1201.9,31858342.5,66577.5,7.782
Maize,Winter,Narayanganj,153314.0,1049167,1201.9,24209813.74,50593.62,6.849655172
Maize,Monsoon,Jessore,85501.0,354764,890.0,13103028.25,29925.35,3.907692308
Maize,Winter,Jessore,164778.0,1298137,890.0,25252228.5,57672.3,6.493846154
Maize,Monsoon,Dhaka,31333.0,91219,2296.8,4801782.25,10966.55,2.545925926
Maize,Monsoon,Rajshahi,18128.0,41543,3837.1,2778116.0,6344.8,2.245454545
Maize,Monsoon,Chittagong,1262641.0,2988982,1147.2,193499733.3,441924.35,2.6025
Maize,Winter,Chittagong,87280.0,262415,1147.2,13375660.0,30548.0,2.6956
Maize,Summer,Chittagong,20282.0,62889,1147.2,3108216.5,7098.7,3.482222222
Maize,Whole Year,Khulna,65.0,68,2924.3,9961.25,22.75,1.775
Maize,Monsoon,Narayanganj,169144.0,770221,912.4,25921318.0,59200.4,4.682222222
Maize,Winter,Narayanganj,145886.0,183156,912.4,22357029.5,51060.1,1.654827586
Maize,Monsoon,Jessore,107276.0,501801,868.2,16889533.44,40764.88,4.422307692
Maize,Winter,Jessore,229264.0,1824103,868.2,36095324.16,87120.32,7.576153846
Maize,Monsoon,Dhaka,31537.0,98783,2098.563636,4965185.28,11984.06,2.989259259
Maize,Monsoon,Rajshahi,18152.0,41624,4472.3,2857850.88,6897.76,2.246363636
Maize,Monsoon,Chittagong,1183334.0,5150460,1111.7,186304105.0,449666.92,4.282857143
Maize,Winter,Chittagong,100156.0,371937,1111.7,15768560.64,38059.28,3.7392
Maize,Summer,Chittagong,23518.0,88268,1111.7,3702673.92,8936.84,3.739230769
Maize,Whole Year,Khulna,70.66,160,2664.8,11124.7104,26.8508,1.1775
Maize,Monsoon,Narayanganj,166195.0,1532106,970.9,26165740.8,63154.1,8.962
Maize,Winter,Narayanganj,158323.0,1059526,970.9,24926373.12,60162.74,6.956785714
Maize,Monsoon,Jessore,104370.0,431440,1220.5,16928814.0,36529.5,3.716923077
Maize,Winter,Jessore,161853.0,1131719,1220.5,26252556.6,56648.55,5.788461538
Maize,Monsoon,Dhaka,32264.0,105003,2372.9,5233220.8,11292.4,2.868518519
Maize,Monsoon,Rajshahi,18163.0,41667,5649.1,2946038.6,6357.05,2.246363636
Maize,Monsoon,Chittagong,1296051.0,3407725,1419.1,210219472.2,453617.85,2.882413793
Maize,Winter,Chittagong,93618.0,317479,1419.1,15184839.6,32766.3,3.1972
Maize,Summer,Chittagong,19621.0,67607,1419.1,3182526.2,6867.35,3.2775
Maize,Whole Year,Khulna,104.326,145,2989.7,16921.6772,36.5141,4.508
Maize,Monsoon,Narayanganj,168944.0,1283603,986.2,27402716.8,59130.4,7.625384615
Maize,Winter,Narayanganj,221658.0,1550834,986.2,35952927.6,77580.3,6.984
Maize,Monsoon,Jessore,95591.0,450932,899.2,16418710.16,35368.67,4.653076923
Maize,Winter,Jessore,205100.0,1670288,899.2,35227976.0,75887.0,6.698461538
Maize,Monsoon,Dhaka,36636.0,128036,2084.7,6292599.36,13555.32,3.155555556
Maize,Monsoon,Rajshahi,18174.0,41760,3844.4,3121566.24,6724.38,2.254545455
Maize,Monsoon,Chittagong,1355321.0,4228095,1422.3,232789935.0,501468.77,3.572068966
Maize,Winter,Chittagong,114070.0,394898,1422.3,19592663.2,42205.9,3.466785714
Maize,Summer,Chittagong,31000.0,122718,1422.3,5324560.0,11470.0,3.905357143
Maize,Whole Year,Khulna,113.0,140,3119.2,19408.88,41.81,1.82
Maize,Monsoon,Narayanganj,168587.0,1506526,910.1,28956503.12,62377.19,8.614827586
Maize,Winter,Narayanganj,164978.0,1108221,910.1,28336621.28,61041.86,6.841666667
Maize,Autumn,Gazipur,51349.0,63331,1496.6,4886884.33,15918.19,0.812
Maize,Summer,Gazipur,1164.0,978,1496.6,110777.88,360.84,0.945714286
Maize,Winter,Gazipur,144.0,136,1496.6,13704.48,44.64,0.9925
Maize,Monsoon,Jessore,305100.0,791500,927.5,29036367.0,94581.0,2.201818182
Maize,Winter,Jessore,90800.0,291800,927.5,8641436.0,28148.0,3.21
Maize,Monsoon,Mymensingh,375000.0,456375,1303.7,35688750.0,116250.0,1.260185185
Maize,Winter,Mymensingh,181914.0,546011,1303.7,17312755.38,56393.34,2.803555556
Maize,Summer,Mymensingh,143522.0,307134,1303.7,13658988.74,44491.82,2.025192308
Maize,Whole Year,Dinajpur,399800.0,659000,798.9,38048966.0,123938.0,1.690666667
Maize,Monsoon,Bogra,808300.0,1085400,1189.1,76925911.0,250573.0,1.143023256
Maize,Autumn,Tangail,21.0,19695,1156.1,1998.57,6.51,989.87
Maize,Monsoon,Tangail,187600.0,219700,1156.1,17853892.0,58156.0,1.082083333
Maize,Winter,Tangail,45800.0,65400,1156.1,4358786.0,14198.0,1.476875
Maize,Summer,Tangail,7500.0,12500,1156.1,713775.0,2325.0,1.407777778
Maize,Monsoon,Jamalpur,8140.0,16256,2644.2,774683.8,2523.4,2.0875
Maize,Winter,Jamalpur,120.0,243,2644.2,11420.4,37.2,2.15
Maize,Monsoon,Narsingdi,165000.0,345000,690.1,15703050.0,51150.0,2.102727273
Maize,Monsoon,Kushtia,1017592.0,1598438,473.9,96844230.64,315453.52,1.498125
Maize,Summer,Kushtia,10385.0,16398,473.9,988340.45,3219.35,1.577936508
Maize,Monsoon,Jessore,314900.0,1019800,1048.3,31112120.0,91321.0,2.479545455
Maize,Winter,Jessore,83700.0,363700,1048.3,8269560.0,24273.0,4.245
Maize,Monsoon,Mymensingh,369521.0,395957,1332.5,36508674.8,107161.09,1.276363636
Maize,Winter,Mymensingh,190119.0,541979,1332.5,18783757.2,55134.51,2.834545455
Maize,Summer,Mymensingh,151459.0,364449,1332.5,14964149.2,43923.11,2.175306122
Maize,Monsoon,Dinajpur,408300.0,696000,775.6,40340040.0,118407.0,1.649411765
Maize,Monsoon,Faridpur,20117.0,39000,687.6,1987559.6,5833.93,0.938235294
Maize,Monsoon,Brahmanbaria,300976.0,662272,1381.6,29736428.8,87283.04,2.23
Maize,Monsoon,Bogra,797600.0,1171600,962.7,78802880.0,231304.0,1.294035088
Maize,Monsoon,Tangail,200400.0,400400,1314.8,19799520.0,58116.0,1.952608696
Maize,Winter,Tangail,58800.0,87600,1314.8,5809440.0,17052.0,1.399444444
Maize,Summer,Tangail,10900.0,17500,1314.8,1076920.0,3161.0,1.426666667
Maize,Monsoon,Narsingdi,154000.0,352000,588.6,15215200.0,44660.0,2.42
Maize,Monsoon,Narayanganj,70179.0,111983,1077.1,6933685.2,20351.91,1.606666667
Maize,Monsoon,Pabna,2320.0,1730,2472.9,229216.0,672.8,0.7475
Maize,Monsoon,Kushtia,995794.0,1012898,743.4,98384447.2,288780.26,0.933780488
Maize,Summer,Kushtia,10551.0,10699,743.4,1042438.8,3059.79,1.01047619
Maize,Monsoon,Mymensingh,385865.0,595085,1402.7,40951852.45,104183.55,1.615272727
Maize,Winter,Mymensingh,199600.0,600608,1402.7,21183548.0,53892.0,2.928333333
Maize,Summer,Mymensingh,152658.0,365675,1402.7,16201593.54,41217.66,2.511666667
Maize,Monsoon,Dinajpur,391000.0,504000,458.9,41496830.0,105570.0,1.324117647
Maize,Monsoon,Faridpur,20078.0,48000,344.0,2130878.14,5421.06,0.812631579
Maize,Monsoon,Brahmanbaria,299906.0,681424,1144.9,31829023.78,80974.62,2.324166667
Maize,Monsoon,Chittagong,525383.0,1417739,1203.8,55758897.79,141853.41,2.7368
Maize,Winter,Chittagong,67807.0,161775,1203.8,7196356.91,18307.89,2.327619048
Maize,Summer,Chittagong,13197.0,23878,1203.8,1400597.61,3563.19,1.786666667
Maize,Monsoon,Bogra,846456.0,1360669,1222.9,89834375.28,228543.12,1.543220339
Maize,Monsoon,Tangail,193869.0,305573,1166.5,20575316.97,52344.63,1.3428
Maize,Winter,Tangail,58800.0,90700,1166.5,6240444.0,15876.0,1.491111111
Maize,Summer,Tangail,11200.0,18200,1166.5,1188656.0,3024.0,1.428888889
Maize,Monsoon,Satkhira,32050.0,42350,1782.2,3401466.5,8653.5,1.312857143
Maize,Monsoon,Gazipur,165330.0,206370,1484.3,17546472.9,44639.1,1.160333333
Maize,Winter,Gazipur,8270.0,10280,1484.3,877695.1,2232.9,1.395357143
Maize,Monsoon,Narsingdi,162000.0,417000,364.4,17193060.0,43740.0,2.711666667
Maize,Monsoon,Narayanganj,115803.0,183765,922.8,12290172.39,31266.81,1.688
Maize,Monsoon,Kushtia,955522.0,1380635,883.4,101409549.9,257990.94,1.303170732
Maize,Winter,Kushtia,11659.0,16894,883.4,1237369.67,3147.93,1.455079365
Maize,Monsoon,Mymensingh,272957.0,477141,1207.0,26796188.69,70968.82,1.728918919
Maize,Winter,Mymensingh,191502.0,549109,1207.0,18799751.34,49790.52,2.568571429
Maize,Summer,Mymensingh,156046.0,461059,1207.0,15319035.82,40571.96,2.77
Maize,Monsoon,Sirajganj,93364.0,125668,896.4,9165543.88,24274.64,1.168125
Maize,Monsoon,Dinajpur,382900.0,288500,379.7,37589293.0,99554.0,0.8175
Maize,Monsoon,Faridpur,15429.0,34000,383.7,1514664.93,4011.54,0.740555556
Maize,Monsoon,Brahmanbaria,298052.0,683642,1068.4,29259764.84,77493.52,2.3325
Maize,Monsoon,Bogra,829299.0,1209947,723.3,81412282.83,215617.74,1.558636364
Maize,Monsoon,Tangail,258500.0,216000,1057.8,25376945.0,67210.0,0.856538462
Maize,Winter,Tangail,70200.0,87600,1057.8,6891534.0,18252.0,1.161666667
Maize,Monsoon,Jamalpur,6410.0,16112,2834.3,629269.7,1666.6,2.1825
Maize,Winter,Jamalpur,233.0,324,2834.3,22873.61,60.58,1.516666667
Maize,Monsoon,Satkhira,35000.0,52500,1631.8,3435950.0,9100.0,1.5125
Maize,Monsoon,Gazipur,54371.0,68866,1066.0,5337601.07,14136.46,0.8808
Maize,Monsoon,Narsingdi,165000.0,461000,405.3,16198050.0,42900.0,2.904615385
Maize,Monsoon,Narayanganj,119802.0,193854,971.1,11760962.34,31148.52,1.629090909
Maize,Monsoon,Kushtia,907927.0,1473111,874.4,89131193.59,236061.02,1.534782609
Maize,Winter,Kushtia,12914.0,20943,874.4,1267767.38,3357.64,1.606610169
Maize,Monsoon,Natore,33467.0,48302,1413.4,3285455.39,8701.42,1.337692308
Maize,Winter,Natore,63.0,99,1413.4,6184.71,16.38,1.535
Maize,Autumn,Mymensingh,244793.0,396864,1247.0,25000709.09,63646.18,1.768108108
Maize,Winter,Mymensingh,187399.0,622294,1247.0,19139059.87,48723.74,2.911818182
Maize,Summer,Mymensingh,149864.0,388209,1247.0,15305610.32,38964.64,2.469189189
Maize,Monsoon,Sirajganj,93820.0,69708,1550.0,9581836.6,24393.2,0.75375
Maize,Monsoon,Dinajpur,443500.0,884600,666.5,45294655.0,115310.0,2.108666667
Maize,Monsoon,Faridpur,17944.0,47000,483.8,1832620.72,4665.44,1.051764706
Maize,Monsoon,Brahmanbaria,301282.0,668228,918.1,30769930.66,78333.32,2.463333333
Maize,Monsoon,Bogra,843065.0,1672641,955.0,86102228.45,219196.9,1.943555556
Maize,Monsoon,Tangail,254500.0,459110,1035.8,25992085.0,66170.0,1.910769231
Maize,Winter,Tangail,63100.0,116100,1035.8,6444403.0,16406.0,1.887142857
Maize,Summer,Tangail,8500.0,11700,1035.8,868105.0,2210.0,1.293529412
Maize,Monsoon,Jamalpur,5493.0,13758,2406.4,561000.09,1428.18,2.076666667
Maize,Winter,Jamalpur,1884.0,2887,2406.4,192412.92,489.84,1.6025
Maize,Monsoon,Satkhira,45000.0,90000,1532.0,4595850.0,11700.0,2.025
Maize,Monsoon,Gazipur,51428.0,46658,1672.5,5252341.64,13371.28,0.714615385
Maize,Monsoon,Narsingdi,165000.0,449000,479.3,16851450.0,42900.0,2.7625
Maize,Monsoon,Kushtia,913718.0,1488204,849.9,93318019.34,237566.68,1.500869565
Maize,Winter,Kushtia,17419.0,28376,849.9,1779002.47,4528.94,1.63516129
Maize,Monsoon,Natore,32938.0,40682,1541.3,3363957.94,8563.88,1.185384615
Maize,Winter,Natore,125.0,183,1541.3,12766.25,32.5,1.1
Maize,Autumn,Mymensingh,255035.0,428182,1105.8,24144163.45,63758.75,1.757567568
Maize,Winter,Mymensingh,187707.0,520263,1105.8,17770221.69,46926.75,2.553513514
Maize,Summer,Mymensingh,160863.0,432637,1105.8,15228900.21,40215.75,2.609459459
Maize,Monsoon,Sirajganj,93955.0,122611,1001.4,8894719.85,23488.75,1.279375
Maize,Monsoon,Dinajpur,464500.0,792600,458.4,43974215.0,116125.0,1.671875
Maize,Monsoon,Faridpur,15886.0,29000,353.9,1503927.62,3971.5,0.478333333
Maize,Monsoon,Brahmanbaria,299801.0,483333,890.8,28382160.67,74950.25,1.6075
Maize,Monsoon,Chittagong,578711.0,1165155,860.8,54786570.37,144677.75,2.174
Maize,Winter,Chittagong,59503.0,149203,860.8,5633149.01,14875.75,2.483181818
Maize,Summer,Chittagong,11330.0,28584,860.8,1072611.1,2832.5,2.472173913
Maize,Monsoon,Bogra,848970.0,1486546,800.8,80371989.9,212242.5,1.662
Maize,Monsoon,Tangail,301200.0,629700,967.4,28514604.0,75300.0,1.725185185
Maize,Winter,Tangail,61700.0,100100,967.4,5841139.0,15425.0,1.382727273
Maize,Summer,Tangail,8300.0,13500,967.4,785761.0,2075.0,1.386315789
Maize,Monsoon,Rajshahi,16922.0,25879,4355.3,1602005.74,4230.5,1.527142857
Maize,Monsoon,Jamalpur,6889.0,13820,2627.0,652181.63,1722.25,1.89
Maize,Winter,Jamalpur,600.0,1059,2627.0,56802.0,150.0,1.695
Maize,Monsoon,Satkhira,40000.0,80000,1536.6,3786800.0,10000.0,2.02875
Maize,Monsoon,Gazipur,43100.0,42400,1102.8,4080277.0,10775.0,0.9248
Maize,Monsoon,Narsingdi,152000.0,310000,301.8,14389840.0,38000.0,2.083333333
Maize,Monsoon,Natore,28506.0,32127,1610.3,2698663.02,7126.5,1.043076923
Maize,Winter,Natore,82.0,127,1610.3,7762.94,20.5,1.455
Maize,Autumn,Tongi,62780.33,74310,1041.2,5943413.841,15695.0825,1.203571429
Maize,Monsoon,Mymensingh,259030.0,438013,1353.9,25638789.4,62167.2,1.68
Maize,Winter,Mymensingh,196338.0,594736,1353.9,19433535.24,47121.12,2.925945946
Maize,Summer,Mymensingh,161062.0,440821,1353.9,15941916.76,38654.88,2.775
Maize,Monsoon,Sirajganj,98575.0,135048,1643.7,9756953.5,23658.0,1.20625
